腿 搁在办公桌上,办公桌
我在太空表演 看不到你牌匾,牌匾
听这声音来自共和国的老学校,共和国
还在跟着我的咬文嚼字找诀窍,诀窍
不痛不痒发呆,发呆
不开心 可以不听 废话我选择不听,废话
我要把音乐开最大声  犯唱歌跳舞病,音乐
I am so sorry 我要唱歌 till i die,唱歌
I am so sorry 我要
Sorry about that我们始终还在追逐,追逐
Sorry about that没有时间一一回复,回复
Sorry about that电话还是无法接通,接通
Sorry about that无法阻止演出结束,阻止
I am sorry about that 我们作品不分好坏,好坏
每个敏感词汇每个刺耳旋律每个不屑口气,刺耳
让你听完气的只想倒带 ha
都说我太啰嗦rapper的废话像拉拉拉面,拉面
这原因太简单,原因
我单纯的做音乐都会被莫名其妙琐事为难,琐事
sorry about that聚会一直打手机,聚会
and i sorry about that 慢慢开始变得无趣,无趣
当我经历过这一切更加变得急切,变得
明显打了鸡血因为发现时间嘀嗒嗒嘀嗒嘀,鸡血
yo man 我不可能站着不动,可能
我的cd机还是请你别碰,别碰
sorry忘记我们现在都用流媒体,流媒体
对这首歌感情可以写在留言里,首歌
Sorry 没想好
最难做的事当属抽时间 现在
上海那场为何忍不住的哭 见怪,见怪
很多误会 不经意的掩盖,误会
吝啬的抱歉是问题的潜在,抱歉
sorry  不好意思还是对不起
sorry总是带着笑脸内心骗自己,笑脸
sorry一直爱你却说一直不喜欢,却说
sorry做了大事因为简单不一般,大事
sorry总有一天会凉 就算你在烫,就算
sorry被迫戴上皇冠感觉太亮,太亮
所以我想小火在慢炖,小火
目标得奖 而不是战胜,得奖
不开心 我选择不听 谁我都不信,开心
一辈子都握着麦克风可能这是我的命,麦克风
就算最后一个人去paradise,就算
可能自私某天也会精彩,精彩
可能自私某天也会精彩,精彩
就算一个人去paradise,就算
sorry学会说了实话惹的事端 and,事端
sorry用了太多 太多的双关,双关
偶像的光环还是 行业的皇冠,偶像
站在机场等待 无尽的航班,航班
是背后的叹气换来台前的狂欢,狂欢
有跟着唱的就有不理解的旁观,旁观
不断的切换从网络到场馆,场馆
从白天到黑夜从凌晨到傍晚,黑夜
现在又是几个战队,战队
难不难过 后不后悔,难过
没别的意思根本不想斗嘴,斗嘴
之前带我父母看了我演唱会,演唱会
想起巡演跑断了腿,巡演
基本没赚每站都赔,没赚
但我相信最闪亮的烟火绽放,绽放
需要我们费点口水,费点
失败就在来过,失败
sorry会经常说
废话都快带过,废话
困境都快摆脱,困境
你不必再自责,自责
成功的Passport
不开心 我选择不听 谁我都不信,开心
一辈子都握着麦克风可能这是我的命,麦克风
就算最后一个人去paradise,就算
可能自私某天也会精彩,精彩
灰败的童年 灰白的容颜,灰败
我那最爱的从前 亏待了红颜,红颜
不相信人言 颠倒日夜,颠倒
看那光阴似箭 中目标我才意识到它已经离线...,离线
从前的我低着头 被另一个我拉着走,低着头
也尝试甩开他的手 I failed,甩开
但现实抢了那风头 把理想给挤在背后,风头
昏了头 自己对自己下了黑手,黑手
不愿意 折腰只为五斗大米,折腰
我拒绝 太早地学会逢场作戏,学会
两手空却为何仍要整装待发
我只是不想坐以待毙,不想
刀还插得不够深 午夜又刮起了狂风,刮起
我像任人宰割的唐僧 浑身上下绑着缰绳,缰绳
还在忍 还得继续等 会逃出那扇地狱门,地狱
成功未必非得把灵魂卖给十八层下的你们,灵魂
你还没走吗 你总是四处扩张,扩张
你还没走吗 我抱头只顾躲藏,抱头
你还是没走吗 你还是没走吗
上善若水三千 我从冬眠中醒来迎来我应得的春天,上善若水
但内心荒芜 无人烟,内心
昨天我倒在河边 但明日我会站在那山巅,山巅
和另一半的自己斩断了牵连 羽化而登仙,羽化
挣钱 省钱 升天,升天
我不想再三点一线,不想
也幻想有朝一日回天,回天
从今往后自由的抚养能够不再举步维艰,抚养
告别过去的神经病,神经病
没必要再和魔鬼谈生意,魔鬼
会一直拼到马死黄金尽,拼到
就算跑断了脚筋 也迟早会有我的一席之地,脚筋
没有回忆 不留痕迹,不留
有没有未来 有没有头绪,有没有
没有容器 也没有能力,容器
太不识趣 有没有商量余地,识趣
我已经把所有的过错都在前面给犯掉,犯掉
我听见掌管时间的女神在背地里偷笑,偷笑
我努力让自己不再怠倦 鼓起勇气和上帝来猜拳,猜拳
成功的滋味不算太甜,太甜
你还没走吗 你总是四处扩张,扩张
你还没走吗 我抱头 只顾躲藏,抱头
你还是没走吗 你还是没走吗
上善若水三千 我从冬眠中醒来迎来我应得的春天,上善若水
但内心荒芜 无人烟,内心
昨天我倒在河边 但明日我会站在那山巅,山巅
和另一半的自己斩断了牵连 羽化而登仙,羽化
你还没走吗 你总是四处扩张,扩张
你还没走吗 我抱头 只顾躲藏,抱头
你还是没走吗 你还是没走吗
上善若水三千 我从冬眠中醒来迎来我应得的春天,上善若水
但内心荒芜 无人烟,内心
昨天我倒在河边 但明日我会站在那山巅,山巅
和另一半的自己斩断了牵连 羽化而登仙,羽化
时间是金,时间
会溜走在一个不小心,溜走
脚步轻轻它不管你听没听见,脚步
日月如梭 这是老人说的经典,经典
循环播放 摆在桌上的经验,播放
避免 挥霍过后良心受到评检,评检
毕竟时针秒针反复交换绝不留在定点,秒针
我功力 尽显在历练 的期间,历练
沉重的包袱 先上路 再精简,精简
时间在帮我上坡,上坡
脚下的泥土翻起波浪形容说唱圈的动荡,说唱
直觉在叫我照做,直觉
左右徘徊躲闪视线停在镂空表盘的中间,表盘
上帝叫我不要放弃,上帝
时间让你 摸爬 滚打最后岩浆喷发,滚打
爆发意味着胜利,胜利
将军 弹指间 这棋盘变成我的场地yea hole up,弹指
当士兵变成将领庆祝生日到了葬礼,葬礼
印象深刻到你忘记这是必经历场景不是背景,场景
无法逃离背弃背离可是时间还是抓住你的把柄wo,背弃
时间就是毒品逼你染上毒瘾后,毒瘾
它又伙同欲望一起让处女变苍井空,苍井空
我的词句丑陋那是时间让我惹的祸,词句
为了赢不然你来告诉我怎么做,告诉
求求时间让我不要忘,求求
让债主撒手不要账让对手闭嘴不要唱 喝了毒药 吐掉,吐掉
时间叫我到了这儿就不要浪,时间
看到事情不要呛 别人的刀不要挡,事情
时间狡猾的笑着对着倒下的我说,倒下
别等我走后想起好多利益没收获,收获
它又催促我站起来拿起这个麦克风,麦克风
但我什么都听不见只听见秒针在走动,秒针
时间让 伤口发炎,伤口发炎
时间让我沉默寡言,时间
时间让 人们期待,期待
时间让 人们离开,离开
时间让本该蓝色的天充满黑色阴霾,阴霾
时间让 情景再现,再现
但时间也偷换概念,时间
时间让我变懦弱 没了当初的勇气,勇气
时间让我变强壮 并且多了份敌意,敌意
时间让我变得向上也让我变得堕落,变得
它让该遇见的遇见 而该错过的错过,错过
让时间给你答案 但如果 时间错了,时间
如果时间错了 让你经历不该经历过程,经历
如果时间错了直接作了不说话的弱者,弱者
你有什么立场资格 把 时间的错过问,错过
老人说姜是老的辣 时间的年纪大吧,老人
让我失去且不怪罪他 时间算奸诈吧,怪罪
它狡猾的笑 它狡猾的笑 我很怕它
他在每个人的口中 长相都不一样吧
时间差 打个时间差 到底是谁在差,时间差
谁在下面躺了100年 骸骨被风化,骸骨
时间让 刘德华老了还是刘德华,刘德华
但让你从哥哥姐姐 变成了大叔大妈,大叔
笑 笑你接着笑 时间在回避,回避
等到你步履蹒跚的时候 自己才回忆,回忆
那是我是多么年轻 多少人被我吸引,吸引
拿着多少万的年薪 有多少动力前进,年薪
闯了祸 时间闯了祸 把我变成现在,变成
坐摇椅 织毛衣 祈祷明天我还健在,摇椅
我付出了时间 但时间又付出个屁,付出
时间是金 但时间 拿走的也很彻底,拿走
我是软在沙发
上的panda大熊猫,大熊猫
早上八点去
每天我身边
我的快乐都是
所以我很快乐
我也没有自豪,自豪
我享受,享受
对着空调摇头,空调
我洗澡洗完全,洗澡
身都会抹上橄榄油,橄榄油
但我从不喝酒,喝酒
喝酒我会上头,喝酒
上头会打乱我,打乱
脑子里排列好的flow,脑子里
我想向前走,向前走
理直气壮假装偷偷,假装
烟灰忘了抖,烟灰
趾高气昂满脸羞羞
是SoSO
又不是来自非洲,非洲
所以我满脸快乐
精力充沛精神抖擞
球鞋搭配装扮,球鞋
跟妖艳货相反,相反
总是低调穿着,低调
兴趣爱好广泛
爱吃早中晚餐,晚餐
还报名参加,报名
my homie 赞扬我危险,赞扬
懂礼仪,礼仪
我打人不打脸,打人
值得一提
可能会戳你眼,可能
友谊第一,友谊
谈和你帮我舔
我是软在沙发
上的panda大熊猫,大熊猫
早上八点去洗脚,洗脚
每天我身边随时
我的快乐都是
所以我很快乐
我也没有自豪,自豪
我是软在沙发上
的panda大熊猫,大熊猫
早上八点去
洗脚我要洗全套,洗脚
每天我身边随时
我的快乐都是
所以我很快乐
我也没有自豪,自豪
我在上海也有迷妹,迷妹
我就是要不
完你搞不清
我的价值观符合,价值观
lady为了mulamula
谁的眼里不是
塞满钞票,塞满
放话很爽快的,放话
哥们说是纯洁交友,哥们
一个人在家里high的
快乐他们不懂flow
很像蜈蚣一样,蜈蚣
的多面手是我
不是每天都有
人说生日快乐
喜欢和名利,名利
淡薄的人一起合作,合作
因为我的运气好过,运气
成功的路上总是
不断出现有人帮我,出现
如影随形的快乐
建立别人快乐之上,建立
你的乐趣就是
发个朋友圈的点赞,朋友圈
不管北京还是,北京
重庆对我有不满,重庆
想要攻击,想要
我向明天借点钱花,钱花
前面的困难,困难
我选择攀爬,攀爬
我知道努力是,知道
成功的代价,代价
否则呆在家负责,负责
换尿布当一个奶爸,奶爸
我不愿意,愿意
不看书也不学习,看书
喝酒我只喝大力,喝酒
每天疯每天
生活就是喝大力,大力
我只忠于漂亮,忠于
姑娘like苏妲己,苏妲己
每天都是新的
赚的都是金子,金子
唱写词都亲自
我是软在沙发
上的panda大熊猫,大熊猫
早上八点去
你以为有钱好啊啊,有钱
想象得那么快乐吗,想象
你错了
总是以为自己什么山都翻的过
也不敢面对自己无心犯的错,无心
暴雨来的太突然那又怎么躲得过,暴雨
年轻就是本领我在井外向你挑衅,外向
引擎 还不稳定 涡轮增压技术好硬,增压
不管阿姆斯壮还是007当我Rapping都无法冷静,阿姆斯壮
赚钱换个新房住,新房
开辟了Hiphop的新航路,航路
承担更大的风险我和兄弟开启了新防护,开启
没有实力的话 那就收起你那倔强,收起
总是以为自己什么山 都翻得过
也不敢面对自己无心 犯的错,无心
暴雨来的太突然 那又怎么躲得过,暴雨
这条路Do or Die,条路
我说不 All Right
我就是不做乖 孩子出错牌,出错
今天我要干大事请我兄弟都过来看,大事
只要玩的开心就好 不然都说白干,白干
钢筋水泥盖的楼 供人类居住,居住
我把韵脚混合Flow 让灵魂被吸附,韵脚
背着沉重的梦 怎么能被拘束,拘束
真正的拘束就是你自己,拘束
并且我还有无数个愿望,愿望
靠我自己能力把深圳变成Home Town,深圳
所以写下我的歌请你循环播放,播放
遇到多少失败我都会卷土重来,失败
除了成功的欲望之外不分甜苦红白,红白
Beat就是土壤把我天赋种栽,天赋
闭着眼睛向前冲 把所有眷顾松开,眷顾
它就像一个灰色game,灰色
生活就像黑道帮派,帮派
所以拼尽力气和我兄弟们都一起,兄弟
让人想起二战士兵怎么冲向诺曼底的,冲向
包容我的脾气 只要我能对你积极,包容
但是抱歉宝贝i ain’t got no time for罗曼蒂克,抱歉
想要抓住每个飘过来的机会,想要
比起钱 想要得到高的地位,比起
整天泡在录音棚里不知疲惫,录音棚
为了不让我妈再次闻到破房子的气味,闻到
说唱就像春梦里的Devil送来大礼包,大礼包
我是卑微穷孩子 哎 look at me now kid,穷孩子
它就像一个灰色game,灰色
i don’t care care care 不要紧
只要还没能要命 没关系be alright,要命
始终相信上天有眼相信因果报应,相信
向新的目标靠近 没关系be alright,靠近
早就听不进任何道理,听不进
只信自己的脑筋 没关系be alright,脑筋
Nobody can replace me 没关系be alright
习惯被夸赞的花 习惯了埋着头在走,习惯
我父母可没教过我人生要怎么拼,没教
习惯了大胆的花 习惯了day and night在拍摄,习惯
贫民窟的百万富翁现在镶着金,贫民窟
钞票塞进口袋 不会忘帮过我的bro,钞票
我的爸爸教我 “You can’t believe anything”,爸爸
他们目瞪口呆 是好是坏都抛身后
我再次告诫自己 i don’t believe anything,告诫
数不清的troubles everyday
我也曾梦想压着money睡,梦想
看好我又一次的celebrate,看好
同样是黑夜 但我的总是比较亮,黑夜
手段很卑劣 也不能让我换方向,手段
自己的类别 我肯定比你更清楚,类别
对生活猥亵 你还想怎么不幸苦,猥亵
所以道理都懂 谁也不在乎有没有用,有没有
继续做我的梦 把自己变成美女的bong,美女
So give me a phone 经典时刻得拍照,拍照
给我两分钟 我要把香槟都开掉,开掉
